id,count
投诉.政府服务.社会治安.人为噪声.others,2680
投诉.政府服务.消费维权.违法经营.c-16001,6372
投诉.政府服务.水务.河道管理.others,1745
投诉.政府服务.农村管理.土地承包.c-6379,2012
投诉.政府服务.道桥.市政道路.c-5791,2015
投诉.政府服务.医疗卫生,18997
投诉.政府服务.道桥.市政道路.c-5794,6206
投诉.政府服务.交通.高速管理,673
投诉.政府服务.城市管理.园林绿化.c-14386,16701
投诉.政府服务.民政.婚姻收养.others,1069
投诉.政府服务.水务.排水防汛.others,3329
投诉.政府服务.城市管理.市容环卫.c-18955,3238
投诉.政府服务.城市管理.占路经营,48135
投诉.政府服务.消费维权.商品质量.c-18232,2161
投诉.政府服务.农村管理.粮食补贴,801
投诉.政府服务.交通.公路建设,1796
投诉.政府服务.教育.升学、入学、入园,8517
投诉.政府服务.户口.身份证,1224
投诉.政府服务.消费维权.合同违法.others,6483
投诉.公共服务.邮电服务.邮政.others,668
投诉.政府服务.水务.排水防汛,17054
投诉.政府服务.交通.公路收费.others,29
投诉.政府服务.住房.风貌管理.others,230
投诉.政府服务.交通.出租行管.others,1159
投诉.公共服务.供水.c-756,5036
投诉.政府服务.民政.婚姻收养,1069
投诉.政府服务.农村管理.粮食补贴.others,801
投诉.政府服务.交通.交通设施.c-2650,3570
投诉.政府服务.交通.路网服务,34
投诉.政府服务.教育,25951
投诉.政府服务.民政.优抚安置,2564
投诉.政府服务.交通.交通事故.others,1806
投诉.政府服务.水务.水利建设,353
投诉.政府服务.住房.物业管理.c-20481,1423
投诉.政府服务.城市管理,259771
投诉.政府服务.交通.船舶检验.others,1
投诉.政府服务.交通.驾驶人管理.c-11905,3287
投诉.政府服务.交通.驾驶人管理.others,2005
投诉.公共服务.出租车.c-3580,3902
投诉.政府服务.民政,15451
投诉.政府服务.城市管理.违章建筑.c-14924,1258
投诉.政府服务.消费维权.违法经营.others,7520
投诉.政府服务.交通.道路运输.others,3059
投诉.政府服务.环境污染.电磁辐射污染,1646
投诉.政府服务.交通.车辆管理,39440
投诉.政府服务.环境污染.噪声污染.c-12650,1706
投诉.公共服务.路灯,28029
投诉.政府服务.医疗卫生.卫生监督,474
投诉.政府服务.民政.社团管理,86
投诉.公共服务.邮电服务,19892
投诉.政府服务.施工扰民,46593
投诉.政府服务.食品药品.保健食品.others,322
投诉.政府服务.医疗卫生.证明,16
投诉.政府服务.交通.公交行管,15097
投诉.政府服务.户口.积分落户,3031
投诉.政府服务.交通,151861
投诉.政府服务.社会治安.人为噪声.c-6014,4371
投诉.公共服务.邮电服务.电信类,10487
投诉.政府服务.交通.汽修行管.others,95
投诉.政府服务.道桥.市政道路.c-5801,2878
投诉.政府服务.消费维权.消费卡.others,3643
